trans_id,time,subtotal,tip,total
B211-1687,4:54 AM,,,
B502-6833,8:24 AM,,,
B342-1925,12:23 PM,,,
B949-0335,8:50 AM,,,
B274-3901,5:53 AM,,,
B956-7037,5:35 AM,,,
B943-6282,10:16 AM,,,
B114-9381,11:39 AM,,,
B112-4167,12:05 PM,,,
B954-9579,9:21 AM,,,
B846-8812,2:13 PM,,,
B727-0973,2:34 AM,,,
B565-6092,3:13 AM,,,
B022-2466,2:25 PM,,,
B869-5208,5:11 AM,,,
B259-3544,11:42 AM,,,
B288-8803,6:10 AM,,,
B002-3264,4:55 PM,,,
B331-0141,8:53 AM,,,
B193-0360,9:19 AM,,,
B985-4794,6:24 AM,,,
B524-7486,4:56 AM,,,
B545-5554,6:40 AM,,,
B108-2267,12:11 PM,,,
B584-4954,9:56 AM,,,
B011-5151,6:46 AM,,,
B410-6095,3:53 PM,,,
B265-9849,3:24 PM,,,
B297-4572,4:59 AM,,,
B002-6413,5:49 AM,,,
B673-4285,6:56 AM,,,
B693-5427,3:54 AM,,,
B419-4956,7:44 AM,,,
B854-4478,10:41 AM,,,
B337-7449,12:44 PM,,,
B572-2046,8:08 AM,,,
B290-7666,4:12 AM,,,
B968-7565,1:57 PM,,,
B667-0906,5:13 AM,,,
B421-0591,4:01 AM,,,
B341-2968,5:45 AM,,,
B665-9079,7:53 AM,,,
B827-1486,3:10 AM,,,
B538-4848,7:14 AM,,,
B392-1234,1:35 PM,,,
B249-9031,4:43 PM,,,
B544-9873,6:08 AM,,,
B380-8493,8:46 AM,,,
B619-8465,4:16 AM,,,
B921-2917,8:21 AM,,,
B900-5149,2:02 AM,,,
B573-2009,7:42 AM,,,
B616-8656,10:27 AM,,,
B210-5901,4:07 AM,,,
B805-0498,9:51 AM,,,
B575-5406,3:04 PM,,,
B883-5071,1:15 PM,,,
B473-7905,4:50 PM,,,
B631-3971,7:02 AM,,,
B478-8114,10:48 AM,,,
B138-6716,1:35 PM,,,
B379-5879,3:48 AM,,,
B275-0253,3:32 PM,,,
B187-8449,6:34 AM,,,
B268-2479,10:05 AM,,,
B304-0165,9:38 AM,,,
B655-7295,7:46 AM,,,
B826-1230,6:41 AM,,,
B477-0677,6:28 AM,,,
B786-0543,12:05 PM,,,
B745-6953,5:32 AM,,,
B736-9828,5:19 AM,,,
B507-9591,11:03 AM,,,
B984-4073,4:31 AM,,,
B264-4733,9:09 AM,,,
B944-7018,5:52 AM,,,
B467-7406,4:38 PM,,,
B368-8446,11:15 AM,,,
B409-7142,4:12 PM,,,
B723-1288,5:10 AM,,,
B002-3103,9:37 AM,,,
B993-0350,3:30 AM,,,
B761-4702,11:51 AM,,,
B148-5245,12:27 PM,,,
B192-9806,8:37 AM,,,
B569-9890,3:34 AM,,,
B923-4616,10:29 AM,,,
B361-7000,2:32 AM,,,
B403-7324,1:47 PM,,,
B702-4002,4:13 PM,,,
B633-2376,1:04 PM,,,
B191-2503,9:11 AM,,,
B373-3033,2:19 AM,,,
B924-5919,12:12 PM,,,
B126-1094,2:04 AM,,,
B142-3874,6:22 AM,,,
B410-5351,2:58 AM,,,
B137-3890,7:12 AM,,,
B861-3156,2:21 PM,,,
B782-0928,3:12 AM,,,
B069-5331,3:32 AM,,,
B951-3961,3:15 PM,,,
B271-1927,4:15 PM,,,
B498-7030,1:38 PM,,,
B086-5215,9:02 AM,,,
B563-4973,2:41 AM,,,
B115-1667,6:56 AM,,,
B111-0292,12:28 PM,,,
B235-9579,3:48 AM,,,
B281-8702,2:04 PM,,,
B320-3694,12:11 PM,,,
B820-6646,3:03 PM,,,
B033-6179,2:32 AM,,,
B669-4039,3:34 AM,,,
B058-3235,11:13 AM,,,
B269-7643,8:17 AM,,,
B535-9497,3:56 PM,,,
B882-4663,3:40 PM,,,
B209-0367,9:40 AM,,,
B485-9370,12:25 PM,,,
B001-4947,10:25 AM,,,
B568-9014,2:28 AM,,,
B164-7540,4:36 PM,,,
B363-1499,11:43 AM,,,
B105-8038,11:39 AM,,,
B736-2182,2:00 PM,,,
B278-0463,11:20 AM,,,
B855-7667,10:48 AM,,,
B990-3119,2:33 PM,,,
B267-3762,5:32 AM,,,
B854-7406,9:25 AM,,,
B852-0267,2:31 AM,,,
B631-0581,5:27 AM,,,
B721-7987,4:46 PM,,,
B316-6297,2:19 PM,,,
B590-2220,5:57 AM,,,
B240-4454,8:47 AM,,,
B001-2610,4:58 AM,,,
B277-3855,10:34 AM,,,
B707-5881,4:34 AM,,,
B432-4598,4:31 PM,,,
B682-0699,2:48 PM,,,
B877-5105,4:44 AM,,,
B324-4741,11:45 AM,,,
B910-7917,4:30 AM,,,
B677-8466,4:06 AM,,,
B870-2658,2:09 PM,,,
B119-0067,12:11 PM,,,
B545-7884,11:48 AM,,,
B741-7937,6:20 AM,,,
B482-2170,9:06 AM,,,
B955-9222,7:57 AM,,,
B727-9586,4:51 AM,,,
B116-5659,11:32 AM,,,
B718-6464,11:59 AM,,,
B261-7322,8:16 AM,,,
B685-7837,10:44 AM,,,
B896-0600,12:46 PM,,,
B280-3898,3:51 AM,,,
B851-1531,11:43 AM,,,
B512-6775,2:14 PM,,,
B566-8779,2:18 AM,,,
B808-6208,11:19 AM,,,
B435-5006,2:14 PM,,,
B717-4973,4:38 PM,,,
B696-9440,6:06 AM,,,
B839-8161,6:15 AM,,,
B192-3961,10:12 AM,,,
B069-9534,7:40 AM,,,
B928-2691,3:03 PM,,,
B361-3693,11:23 AM,,,
B254-0439,9:47 AM,,,
B034-1279,2:16 AM,,,
B166-5128,2:32 PM,,,
B969-0812,4:41 PM,,,
B923-9259,11:00 AM,,,
B674-7340,9:15 AM,,,
B905-5040,2:00 AM,,,
B579-6011,6:16 AM,,,
B940-7837,1:08 PM,,,
B762-0569,7:35 AM,,,
B596-2728,3:16 PM,,,
B224-4537,1:35 PM,,,
B988-9577,6:37 AM,,,
B896-9144,5:35 AM,,,
B128-8587,3:47 AM,,,
B934-6798,10:59 AM,,,
B629-3800,1:01 PM,,,
B486-8546,6:53 AM,,,
B815-4165,3:52 PM,,,
B600-3911,7:43 AM,,,
B315-0915,11:42 AM,,,
B535-7066,4:49 AM,,,
B479-5241,8:44 AM,,,
B838-1455,4:02 PM,,,
B528-0862,12:15 PM,,,
B467-5012,3:52 PM,,,
B798-9162,2:26 PM,,,
B940-7078,2:45 AM,,,
B368-4486,8:13 AM,,,
B368-0790,5:00 AM,,,
B817-2431,3:58 AM,,,
B195-6793,2:37 PM,,,
B294-8992,5:27 AM,,,
B555-2284,5:09 AM,,,
B230-1937,2:42 PM,,,
B804-3369,2:23 PM,,,
B634-9461,4:06 PM,,,
B761-1875,3:54 PM,,,
B789-3685,3:23 AM,,,
B911-9008,12:22 PM,,,
B745-2778,4:46 PM,,,
B446-4975,10:38 AM,,,
B811-6189,11:19 AM,,,
B968-3297,8:39 AM,,,
B393-4856,4:34 PM,,,
B176-4916,12:24 PM,,,
B057-3472,7:29 AM,,,
B400-7637,1:31 PM,,,
B614-8344,8:25 AM,,,
B468-7887,1:27 PM,,,
B518-6518,2:55 AM,,,
B340-9995,8:08 AM,,,
B724-1196,8:53 AM,,,
B668-8616,7:36 AM,,,
B616-5272,11:58 AM,,,
B741-6405,9:33 AM,,,
B329-1641,2:45 PM,,,
B565-7375,5:18 AM,,,
B511-1764,4:21 PM,,,
B889-9383,6:03 AM,,,
B572-3452,5:21 AM,,,
B868-9808,7:37 AM,,,
B143-8487,4:19 PM,,,
B993-5656,3:02 PM,,,
B982-6700,4:59 AM,,,
B235-7830,5:12 AM,,,
B464-0480,4:04 PM,,,
B473-5670,11:29 AM,,,
B296-0790,4:40 AM,,,
B951-3135,11:52 AM,,,
B901-1075,6:23 AM,,,
B785-3161,8:29 AM,,,
B830-0666,2:20 AM,,,
B721-9733,7:07 AM,,,
B468-3487,2:52 AM,,,
B228-5149,5:24 AM,,,
B556-0226,7:17 AM,,,
B439-2672,7:02 AM,,,
B370-0136,2:40 PM,,,
B212-8556,1:04 PM,,,
B801-8817,10:59 AM,,,
B973-2551,11:13 AM,,,
B446-0904,8:45 AM,,,
B900-5549,6:21 AM,,,
B609-7261,2:32 PM,,,
B738-9106,9:44 AM,,,
B891-6348,4:10 AM,,,
B394-5333,4:47 AM,,,
B703-7894,2:14 AM,,,
B060-5786,2:10 PM,,,
B566-3935,3:34 AM,,,
B027-7332,10:28 AM,,,
B640-6798,9:04 AM,,,
B218-3009,7:01 AM,,,
B006-5362,6:01 AM,,,
B184-7834,2:49 AM,,,
B940-5992,9:23 AM,,,
B989-2095,4:08 PM,,,
B783-3174,3:43 PM,,,
B696-0684,2:13 AM,,,
B488-8495,7:38 AM,,,
B713-8861,7:01 AM,,,
B827-7902,6:01 AM,,,
B388-3529,6:37 AM,,,
B527-0857,10:14 AM,,,
B388-1692,7:35 AM,,,
B573-3527,11:07 AM,,,
B007-0570,2:56 AM,,,
B722-6858,8:51 AM,,,
B468-6168,5:53 AM,,,
B366-1143,10:05 AM,,,
B151-2332,9:10 AM,,,
B034-4395,3:23 PM,,,
B384-4866,6:04 AM,,,
B070-5193,12:23 PM,,,
B739-5314,3:55 AM,,,
B877-5580,11:59 AM,,,
B933-4428,12:34 PM,,,
B244-3642,1:46 PM,,,
B833-2788,3:32 PM,,,
B031-1212,2:42 AM,,,
B537-1307,5:07 AM,,,
B350-2227,4:42 PM,,,
B931-3897,2:03 PM,,,
B715-4508,7:49 AM,,,
B656-5866,1:00 PM,,,
B008-7675,4:08 PM,,,
B454-4935,7:10 AM,,,
B440-4049,5:58 AM,,,
B821-0125,2:32 PM,,,
B715-7980,1:41 PM,,,
B057-1369,11:08 AM,,,
B425-4636,11:23 AM,,,
B352-0389,5:59 AM,,,
B671-8479,11:51 AM,,,
B520-7596,6:40 AM,,,
B890-2431,12:56 PM,,,
B318-1000,8:58 AM,,,
B867-5801,4:00 AM,,,
B341-7750,10:54 AM,,,
B680-7762,2:54 AM,,,
B829-6291,4:45 AM,,,
B565-8696,6:07 AM,,,
B736-1252,3:55 AM,,,
B110-1489,10:18 AM,,,
B861-9083,10:27 AM,,,
B675-2728,1:11 PM,,,
B024-2583,11:59 AM,,,
B175-2621,2:53 PM,,,
B277-7361,9:40 AM,,,
B023-7741,6:23 AM,,,
B766-5356,12:24 PM,,,
B856-5200,8:11 AM,,,
B532-6298,9:17 AM,,,
B189-1936,6:10 AM,,,
B791-3393,9:14 AM,,,
B765-7018,6:39 AM,,,
B933-0625,3:00 PM,,,
B882-7606,3:06 AM,,,
B699-5111,8:34 AM,,,
B691-4958,4:49 AM,,,
B254-9921,6:59 AM,,,
B540-9551,2:05 PM,,,
B462-3930,3:40 PM,,,
B868-1824,7:53 AM,,,
B885-0039,2:40 AM,,,
B376-8736,3:11 AM,,,
B446-3273,11:31 AM,,,
B631-5019,3:58 AM,,,
B633-2231,6:41 AM,,,
B355-6927,2:09 AM,,,
B280-4495,4:47 PM,,,
B876-5183,4:43 PM,,,
B467-2678,2:13 AM,,,
B619-8845,1:05 PM,,,
B082-3366,3:40 AM,,,
B739-5154,6:33 AM,,,
B004-7786,6:38 AM,,,
B795-8932,8:17 AM,,,
B844-6281,2:22 AM,,,
B231-0265,7:03 AM,,,
B744-2448,11:50 AM,,,
B217-5782,10:14 AM,,,
B181-4182,2:40 AM,,,
B511-8437,7:16 AM,,,
B042-9963,5:24 AM,,,
B932-4437,9:07 AM,,,
B817-0252,8:06 AM,,,
B179-0398,3:35 AM,,,
B084-5241,1:38 PM,,,
B602-0638,2:27 AM,,,
B201-5091,8:50 AM,,,
B807-4135,4:08 AM,,,
B011-5656,1:48 PM,,,
B735-0657,2:40 AM,,,
B826-9389,9:08 AM,,,
B853-7329,8:48 AM,,,
B880-9640,8:08 AM,,,
B700-3609,3:15 AM,,,
B568-9089,3:57 PM,,,
B229-8803,9:10 AM,,,
B262-3299,5:59 AM,,,
B116-4758,2:35 PM,,,
B601-5055,2:52 PM,,,
B863-2227,5:08 AM,,,
B248-7120,3:26 PM,,,
B491-7301,8:33 AM,,,
B469-2889,8:54 AM,,,
B277-0572,4:22 AM,,,
B093-4521,4:04 PM,,,
B087-4237,4:55 PM,,,
B302-0887,6:00 AM,,,
B986-5468,2:09 PM,,,
B477-5049,7:32 AM,,,
B848-0413,1:32 PM,,,
B374-7854,6:07 AM,,,
B829-6842,2:54 AM,,,
B952-7524,4:12 PM,,,
B496-8218,9:11 AM,,,
B612-5216,11:21 AM,,,
B160-2958,4:16 PM,,,
B065-9776,6:04 AM,,,
B482-0527,12:52 PM,,,
B994-2657,5:20 AM,,,
B501-1766,4:06 AM,,,
B862-1454,2:59 PM,,,
B596-8900,5:53 AM,,,
B461-6300,3:19 AM,,,
B052-1377,11:06 AM,,,
B453-7385,3:38 AM,,,
B573-6428,4:58 AM,,,
B109-5173,7:45 AM,,,
B148-5418,1:14 PM,,,
B133-9267,3:15 PM,,,
B951-5118,3:47 AM,,,
B896-5736,5:42 AM,,,
B440-7868,3:08 AM,,,
B783-8714,2:02 PM,,,
B127-4402,4:57 AM,,,
B911-5932,10:17 AM,,,
B261-7141,2:57 PM,,,
B122-7328,11:29 AM,,,
B063-7156,2:48 AM,,,
B209-3854,1:37 PM,,,
B748-2024,4:03 PM,,,
B799-9801,12:09 PM,,,
B365-7228,2:50 AM,,,
B656-9621,6:59 AM,,,
B290-9873,2:53 PM,,,
B188-5360,8:17 AM,,,
B565-9065,11:47 AM,,,
B312-9022,2:44 AM,,,
B474-8663,2:56 AM,,,
B721-7077,12:36 PM,,,
B284-6347,2:46 AM,,,
B129-7834,4:47 PM,,,
B196-4636,10:45 AM,,,
B933-3394,2:59 PM,,,
B108-8282,12:55 PM,,,
B258-1786,7:28 AM,,,
B272-9972,5:54 AM,,,
B048-7293,4:12 PM,,,
B136-7889,12:11 PM,,,
B621-3226,9:31 AM,,,
B417-0463,11:52 AM,,,
B778-3298,7:13 AM,,,
B300-2713,12:17 PM,,,
B164-8461,11:22 AM,,,
B919-4917,7:11 AM,,,
B365-8573,4:04 PM,,,
B974-6532,1:20 PM,,,
B866-6233,3:06 AM,,,
B586-4279,6:01 AM,,,
B436-7565,7:53 AM,,,
B069-2995,3:55 PM,,,
B118-0897,2:46 AM,,,
B276-3734,11:40 AM,,,
B938-8931,12:51 PM,,,
B436-5923,2:43 AM,,,
B079-6571,7:51 AM,,,
B704-8378,11:54 AM,,,
B199-7191,4:34 AM,,,
B308-8422,8:16 AM,,,
B541-8064,5:38 AM,,,
B953-9353,4:10 AM,,,
B760-4227,2:54 AM,,,
B288-2788,2:32 PM,,,
B836-0396,4:18 PM,,,
B970-2472,10:28 AM,,,
B552-7967,3:44 PM,,,
B019-5365,7:09 AM,,,
B747-9318,6:48 AM,,,
B876-2624,1:38 PM,,,
B254-1739,1:19 PM,,,
B473-5075,2:06 AM,,,
B391-3154,9:19 AM,,,
B978-4751,8:25 AM,,,
B576-8782,11:34 AM,,,
B475-5436,6:58 AM,,,
B867-0340,2:29 PM,,,
B958-0081,3:02 PM,,,
B073-2553,9:39 AM,,,
B431-5292,4:38 PM,,,
B302-8947,3:30 PM,,,
B270-7730,2:26 AM,,,
B992-4361,6:27 AM,,,
B810-9936,7:11 AM,,,
B155-9728,7:35 AM,,,
B386-6903,11:33 AM,,,
B416-4261,8:48 AM,,,
B626-0658,3:43 PM,,,
B953-7019,12:27 PM,,,
B303-6131,4:47 AM,,,
B619-2284,9:39 AM,,,
B857-2778,9:06 AM,,,
B033-7995,11:13 AM,,,
B706-1485,5:21 AM,,,
B763-8403,3:54 PM,,,
B706-2119,2:20 PM,,,
B201-7650,11:47 AM,,,
B317-1617,7:16 AM,,,
B110-2025,3:00 AM,,,
B456-4082,1:01 PM,,,
B621-8397,7:15 AM,,,
B616-0645,4:25 PM,,,
B992-0463,4:11 AM,,,
B835-2705,12:11 PM,,,
B694-3447,3:01 AM,,,
B160-8708,4:10 PM,,,
B836-2547,3:12 AM,,,
B052-4000,4:55 AM,,,
B080-1029,1:09 PM,,,
B027-0299,3:21 PM,,,
B405-2508,7:15 AM,,,
B226-8813,6:57 AM,,,
B776-5439,6:10 AM,,,
B295-9261,2:52 PM,,,
B949-2831,7:52 AM,,,
B633-7789,5:50 AM,,,
B444-0265,6:02 AM,,,
B266-8303,2:35 PM,,,
B165-0173,7:15 AM,,,
B969-0969,6:20 AM,,,
B369-7331,5:18 AM,,,
B080-1480,11:02 AM,,,
B726-5584,1:27 PM,,,
B508-5007,4:35 AM,,,
B107-3645,5:50 AM,,,
B884-3257,4:55 AM,,,
B386-0932,3:04 AM,,,
B696-0218,1:54 PM,,,
B035-7563,1:21 PM,,,
B218-9653,5:45 AM,,,
B801-3519,3:26 PM,,,
B548-1360,4:53 AM,,,
B470-5076,3:11 PM,,,
B099-5366,3:19 AM,,,
B115-3537,3:18 PM,,,
B941-1004,3:41 AM,,,
B163-7337,2:05 PM,,,
B206-6839,5:06 AM,,,
B809-8322,9:03 AM,,,
B355-3771,1:37 PM,,,
B788-3839,2:39 AM,,,
B375-7944,6:32 AM,,,
B440-7138,5:33 AM,,,
B531-7301,10:04 AM,,,
B662-4797,1:21 PM,,,
B031-7561,9:31 AM,,,
B196-3919,8:36 AM,,,
B048-2828,9:08 AM,,,
B299-5812,4:22 AM,,,
B634-7310,12:12 PM,,,
B030-7162,11:29 AM,,,
B906-7501,11:09 AM,,,
B781-7406,2:13 PM,,,
B464-4278,3:12 PM,,,
B139-2289,3:05 AM,,,
B479-6764,10:12 AM,,,
B080-4792,2:46 AM,,,
B012-7449,1:18 PM,,,
B207-6786,8:45 AM,,,
B638-2240,8:11 AM,,,
B089-5015,5:08 AM,,,
B268-5979,6:39 AM,,,
B551-9361,10:03 AM,,,
B527-9541,1:49 PM,,,
B429-7935,9:16 AM,,,
B483-0919,12:51 PM,,,
B968-9393,3:25 AM,,,
B059-6136,8:14 AM,,,
B791-7643,12:01 PM,,,
B307-3112,3:21 AM,,,
B488-5047,11:34 AM,,,
B094-2559,2:05 PM,,,
B156-7326,12:01 PM,,,
B537-3339,1:42 PM,,,
B707-2117,9:51 AM,,,
B899-3617,4:08 PM,,,
B809-1248,10:39 AM,,,
B643-8219,3:19 AM,,,
B973-9943,12:51 PM,,,
B933-1306,8:08 AM,,,
B566-4717,4:54 PM,,,
B903-5543,12:02 PM,,,
B908-4566,4:52 AM,,,
B863-0062,3:40 PM,,,
